# LF_DEM version v3.0-126-gb72fb1a
# np 1000
# VF 0.76
# Lx 73.993
# Ly 0
# Lz 73.993
# flow_type shear
# data in cl units.
#1: time
#2: cumulated strain
#3: shear rate
#4-9: total stress tensor (xx, xy, xz, yz, yy, zz)
#10-15: contact stress tensor (xx, xy, xz, yz, yy, zz)
#16-21: dashpot stress tensor (xx, xy, xz, yz, yy, zz)
#22-27: hydro stress tensor (xx, xy, xz, yz, yy, zz)
#28-33: repulsion stress tensor (xx, xy, xz, yz, yy, zz)

0.0942478 0.00042402 0.004499 -0.21774 0 0.2 0 0 -0.20274  -0.242464 0 0.131048 0 0 -0.245605  -0.0126144 0 0.00469785 0 0 -0.0149933  0.0373379 0 0.0642542 0 0 0.0578578  0 0 0 0 0 0  
9.42478 0.0421908 0.0044616 -0.23726 0 0.2 0 0 -0.219624  -0.258974 0 0.134712 0 0 -0.25188  -0.0116935 0 0.00529632 0 0 -0.0131003  0.0334074 0 0.0599919 0 0 0.0453566  0 0 0 0 0 0  
18.8496 0.0844012 0.00448455 -0.244624 0 0.2 0 0 -0.228398  -0.264274 0 0.138682 0 0 -0.257716  -0.00971892 0 0.00491093 0 0 -0.0109952  0.0293686 0 0.0564073 0 0 0.0403135  0 0 0 0 0 0  
28.2743 0.126752 0.00455657 -0.240616 0 0.2 0 0 -0.229006  -0.259046 0 0.140015 0 0 -0.25504  -0.0101056 0 0.00556965 0 0 -0.00976682  0.0285356 0 0.0544155 0 0 0.0358006  0 0 0 0 0 0  
37.6991 0.168976 0.00443782 -0.233584 0 0.2 0 0 -0.229563  -0.251301 0 0.140004 0 0 -0.255488  -0.0106466 0 0.00513539 0 0 -0.0129075  0.0283636 0 0.0548603 0 0 0.0388329  0 0 0 0 0 0  
47.1239 0.210134 0.00424464 -0.235186 0 0.2 0 0 -0.240296  -0.25082 0 0.140769 0 0 -0.265244  -0.00977363 0 0.00594342 0 0 -0.01283  0.0254077 0 0.0532877 0 0 0.0377778  0 0 0 0 0 0  
56.5487 0.249559 0.00408683 -0.24135 0 0.2 0 0 -0.258935  -0.255574 0 0.145006 0 0 -0.28319  -0.00949922 0 0.0062023 0 0 -0.00967801  0.023724 0 0.0487922 0 0 0.033933  0 0 0 0 0 0  
65.9734 0.288316 0.00415966 -0.250007 0 0.2 0 0 -0.275425  -0.265727 0 0.149444 0 0 -0.299346  -0.00770397 0 0.00536607 0 0 -0.00712223  0.0234239 0 0.0451902 0 0 0.0310434  0 0 0 0 0 0  
75.3982 0.328051 0.00431087 -0.24775 0 0.2 0 0 -0.277105  -0.261052 0 0.145227 0 0 -0.303213  -0.00777031 0 0.00581691 0 0 -0.00841072  0.0210727 0 0.0489565 0 0 0.034519  0 0 0 0 0 0  
84.823 0.370864 0.00470358 -0.235936 0 0.2 0 0 -0.256125  -0.253623 0 0.140207 0 0 -0.290741  -0.00825294 0 0.00566642 0 0 -0.00786232  0.02594 0 0.0541265 0 0 0.0424776  0 0 0 0 0 0  
94.2478 0.415959 0.00486799 -0.232337 0 0.2 0 0 -0.244985  -0.251733 0 0.138677 0 0 -0.281213  -0.0103872 0 0.0051116 0 0 -0.00883653  0.0297831 0 0.0562112 0 0 0.0450645  0 0 0 0 0 0  
103.673 0.461924 0.00489665 -0.244009 0 0.2 0 0 -0.24142  -0.261799 0 0.137444 0 0 -0.276714  -0.0108698 0 0.00462311 0 0 -0.0096623  0.0286594 0 0.0579329 0 0 0.0449562  0 0 0 0 0 0  
113.097 0.508547 0.00499699 -0.247297 0 0.2 0 0 -0.23023  -0.268766 0 0.135583 0 0 -0.268166  -0.0115497 0 0.0044935 0 0 -0.0111975  0.0330186 0 0.0599239 0 0 0.049133  0 0 0 0 0 0  
122.522 0.556704 0.00510981 -0.25099 0 0.2 0 0 -0.213609  -0.276595 0 0.130288 0 0 -0.257041  -0.0148757 0 0.0045916 0 0 -0.0139287  0.0404804 0 0.0651206 0 0 0.0573608  0 0 0 0 0 0  
131.947 0.604375 0.00503439 -0.261449 0 0.2 0 0 -0.204836  -0.286031 0 0.127441 0 0 -0.251075  -0.0150188 0 0.00454959 0 0 -0.0173612  0.0396004 0 0.0680092 0 0 0.0635996  0 0 0 0 0 0  
141.372 0.651804 0.0050412 -0.269311 0 0.2 0 0 -0.205948  -0.292612 0 0.127921 0 0 -0.249626  -0.0139436 0 0.00388933 0 0 -0.0162824  0.0372449 0 0.0681901 0 0 0.0599602  0 0 0 0 0 0  
150.796 0.698853 0.00490951 -0.268762 0 0.2 0 0 -0.206439  -0.288859 0 0.129079 0 0 -0.239792  -0.0139466 0 0.00620107 0 0 -0.0134982  0.0340437 0 0.0647202 0 0 0.0468512  0 0 0 0 0 0  
160.221 0.745118 0.00484474 -0.274401 0 0.2 0 0 -0.206109  -0.288894 0 0.132203 0 0 -0.23613  -0.0128825 0 0.00678949 0 0 -0.0120434  0.0273749 0 0.0610073 0 0 0.0420644  0 0 0 0 0 0  
169.646 0.790086 0.00473866 -0.279118 0 0.2 0 0 -0.205948  -0.295479 0 0.133444 0 0 -0.237311  -0.0112888 0 0.00688741 0 0 -0.0120428  0.0276505 0 0.0596683 0 0 0.0434059  0 0 0 0 0 0  
179.071 0.833297 0.00448445 -0.280488 0 0.2 0 0 -0.207696  -0.299094 0 0.135888 0 0 -0.240435  -0.0108376 0 0.00638093 0 0 -0.0111375  0.0294444 0 0.0577309 0 0 0.0438763  0 0 0 0 0 0  
188.496 0.875153 0.00441577 -0.279489 0 0.2 0 0 -0.214361  -0.298586 0 0.136685 0 0 -0.246678  -0.0108462 0 0.00627984 0 0 -0.0124323  0.0299439 0 0.0570353 0 0 0.0447493  0 0 0 0 0 0  
197.92 0.916574 0.00437734 -0.274863 0 0.2 0 0 -0.219143  -0.291924 0 0.139516 0 0 -0.251773  -0.00883332 0 0.00628394 0 0 -0.0108896  0.0258936 0 0.0542001 0 0 0.0435188  0 0 0 0 0 0  
207.345 0.956932 0.00414458 -0.268889 0 0.2 0 0 -0.221945  -0.286103 0 0.141782 0 0 -0.251189  -0.0080689 0 0.00591611 0 0 -0.012112  0.0252833 0 0.0523016 0 0 0.0413562  0 0 0 0 0 0  
216.77 0.995378 0.00401689 -0.271212 0 0.2 0 0 -0.237111  -0.28853 0 0.144263 0 0 -0.264781  -0.00824178 0 0.00566102 0 0 -0.0103641  0.0255595 0 0.0500758 0 0 0.0380341  0 0 0 0 0 0  
226.195 1.03292 0.00400397 -0.26856 0 0.2 0 0 -0.25201  -0.287385 0 0.145533 0 0 -0.280449  -0.00791056 0 0.00548708 0 0 -0.0099132  0.0267354 0 0.0489803 0 0 0.0383521  0 0 0 0 0 0  
235.619 1.07108 0.00411194 -0.266104 0 0.2 0 0 -0.256845  -0.283819 0 0.144054 0 0 -0.284702  -0.00741182 0 0.00559698 0 0 -0.00983756  0.0251271 0 0.0503489 0 0 0.0376942  0 0 0 0 0 0  
245.044 1.10978 0.00416681 -0.273754 0 0.2 0 0 -0.26418  -0.28967 0 0.144773 0 0 -0.290528  -0.00618168 0 0.00580542 0 0 -0.00879453  0.0220971 0 0.049422 0 0 0.0351424  0 0 0 0 0 0  
254.469 1.15013 0.00437355 -0.278802 0 0.2 0 0 -0.268599  -0.295773 0 0.144966 0 0 -0.294703  -0.00751731 0 0.00528759 0 0 -0.00862012  0.0244885 0 0.0497461 0 0 0.0347247  0 0 0 0 0 0  
263.894 1.19222 0.00456061 -0.273526 0 0.2 0 0 -0.266093  -0.292845 0 0.143175 0 0 -0.295699  -0.00796212 0 0.00510214 0 0 -0.00913969  0.0272806 0 0.0517226 0 0 0.0387453  0 0 0 0 0 0  
