# LF_DEM version v3.0-126-gb72fb1a
# np 1000
# VF 0.76
# Lx 73.993
# Ly 0
# Lz 73.993
# flow_type shear
# data in cl units.
#1: time
#2: cumulated strain
#3: shear rate
#4-9: total stress tensor (xx, xy, xz, yz, yy, zz)
#10-15: contact stress tensor (xx, xy, xz, yz, yy, zz)
#16-21: dashpot stress tensor (xx, xy, xz, yz, yy, zz)
#22-27: hydro stress tensor (xx, xy, xz, yz, yy, zz)
#28-33: repulsion stress tensor (xx, xy, xz, yz, yy, zz)

0.000942478 0.00042402 0.4499 -21.774 0 20 0 0 -20.274  -24.2464 0 13.1048 0 0 -24.5605  -1.26144 0 0.469785 0 0 -1.49933  3.73379 0 6.42542 0 0 5.78578  0 0 0 0 0 0  
0.0942478 0.0175996 0.144559 -25.6451 0 20 0 0 -23.0926  -26.2604 0 17.9039 0 0 -24.1968  -0.311574 0 0.158181 0 0 -0.411213  0.926947 0 1.93793 0 0 1.51543  0 0 0 0 0 0  
0.188496 0.0293593 0.107192 -29.1697 0 20 0 0 -26.899  -29.5245 0 18.5625 0 0 -27.5011  -0.168584 0 0.129391 0 0 -0.228051  0.523354 0 1.30807 0 0 0.830126  0 0 0 0 0 0  
0.282743 0.0382381 0.0841668 -31.7675 0 20 0 0 -29.4265  -32.0141 0 18.9206 0 0 -29.8555  -0.115966 0 0.109498 0 0 -0.149321  0.362556 0 0.969891 0 0 0.578363  0 0 0 0 0 0  
0.376991 0.0456832 0.077146 -33.3999 0 20 0 0 -31.1312  -33.5967 0 19.0507 0 0 -31.5149  -0.114427 0 0.101756 0 0 -0.132789  0.311192 0 0.847534 0 0 0.516487  0 0 0 0 0 0  
0.471239 0.0526917 0.0697865 -35.0997 0 20 0 0 -32.3537  -35.2721 0 19.1727 0 0 -32.671  -0.0977058 0 0.0942385 0 0 -0.103077  0.270145 0 0.733064 0 0 0.420411  0 0 0 0 0 0  
0.565487 0.0590847 0.0650632 -36.7048 0 20 0 0 -33.2841  -36.8565 0 19.2552 0 0 -33.5693  -0.0817864 0 0.0836601 0 0 -0.0845567  0.233538 0 0.661136 0 0 0.369824  0 0 0 0 0 0  
0.659734 0.0649837 0.0583314 -37.9357 0 20 0 0 -33.875  -38.0573 0 19.339 0 0 -34.0916  -0.0702236 0 0.0796979 0 0 -0.0740174  0.191862 0 0.581327 0 0 0.290659  0 0 0 0 0 0  
0.753982 0.0703671 0.0565283 -39.0387 0 20 0 0 -34.1942  -39.1376 0 19.3796 0 0 -34.4004  -0.0618925 0 0.075139 0 0 -0.0622086  0.160796 0 0.545221 0 0 0.268383  0 0 0 0 0 0  
0.84823 0.0754394 0.0516789 -39.658 0 20 0 0 -35.0742  -39.7382 0 19.4438 0 0 -35.2591  -0.0641647 0 0.0691957 0 0 -0.0528356  0.144343 0 0.48696 0 0 0.237721  0 0 0 0 0 0  
