# LF_DEM version v3.0-126-gb72fb1a
# np 1000
# VF 0.76
# Lx 73.993
# Ly 0
# Lz 73.993
# flow_type shear
# data in cl units.
#1: time
#2: cumulated strain
#3: shear rate
#4-9: total stress tensor (xx, xy, xz, yz, yy, zz)
#10-15: contact stress tensor (xx, xy, xz, yz, yy, zz)
#16-21: dashpot stress tensor (xx, xy, xz, yz, yy, zz)
#22-27: hydro stress tensor (xx, xy, xz, yz, yy, zz)
#28-33: repulsion stress tensor (xx, xy, xz, yz, yy, zz)

0.0628319 0.000419105 0.00667026 -0.364995 0 0.3 0 0 -0.342421  -0.394983 0 0.208708 0 0 -0.402271  -0.0134068 0 0.00622639 0 0 -0.0134548  0.0433947 0 0.0850656 0 0 0.0733058  0 0 0 0 0 0  
6.28319 0.0426394 0.00683241 -0.372941 0 0.3 0 0 -0.347937  -0.400822 0 0.20533 0 0 -0.405627  -0.0141225 0 0.00671436 0 0 -0.0164862  0.0420037 0 0.0879558 0 0 0.0741766  0 0 0 0 0 0  
12.5664 0.0858786 0.00691165 -0.39083 0 0.3 0 0 -0.355667  -0.419346 0 0.210121 0 0 -0.411409  -0.0126519 0 0.00745075 0 0 -0.0166976  0.0411684 0 0.0824282 0 0 0.0724394  0 0 0 0 0 0  
18.8496 0.129265 0.00693798 -0.412575 0 0.3 0 0 -0.354535  -0.43773 0 0.209637 0 0 -0.41163  -0.0121411 0 0.00804111 0 0 -0.0166681  0.037296 0 0.0823223 0 0 0.0737626  0 0 0 0 0 0  
25.1327 0.172923 0.00711928 -0.40382 0 0.3 0 0 -0.331555  -0.431808 0 0.207374 0 0 -0.391866  -0.0109005 0 0.00794491 0 0 -0.0143232  0.0388885 0 0.0846811 0 0 0.0746342  0 0 0 0 0 0  
31.4159 0.21916 0.00754803 -0.368836 0 0.3 0 0 -0.300421  -0.399502 0 0.197779 0 0 -0.365769  -0.0139515 0 0.00799867 0 0 -0.0174573  0.0446167 0 0.0942224 0 0 0.0828056  0 0 0 0 0 0  
37.6991 0.266228 0.00734025 -0.335669 0 0.3 0 0 -0.290136  -0.367569 0 0.189159 0 0 -0.361068  -0.0192435 0 0.006466 0 0 -0.0225173  0.0511429 0 0.104375 0 0 0.0934492  0 0 0 0 0 0  
43.9823 0.311358 0.00706907 -0.333155 0 0.3 0 0 -0.297214  -0.369129 0 0.195954 0 0 -0.361991  -0.0193044 0 0.00593989 0 0 -0.0208993  0.0552786 0 0.0981062 0 0 0.0856768  0 0 0 0 0 0  
50.2655 0.354082 0.00671865 -0.352599 0 0.3 0 0 -0.315022  -0.38478 0 0.200059 0 0 -0.37576  -0.0168014 0 0.0063951 0 0 -0.0186472  0.0489821 0 0.0935459 0 0 0.0793851  0 0 0 0 0 0  
56.5487 0.395935 0.00657751 -0.368362 0 0.3 0 0 -0.343853  -0.39869 0 0.203659 0 0 -0.396416  -0.0167721 0 0.00647048 0 0 -0.0186073  0.047101 0 0.0898704 0 0 0.0711699  0 0 0 0 0 0  
62.8319 0.436404 0.0062692 -0.388662 0 0.3 0 0 -0.37864  -0.415246 0 0.211961 0 0 -0.42406  -0.0131968 0 0.00821494 0 0 -0.0138073  0.0397814 0 0.0798245 0 0 0.0592272  0 0 0 0 0 0  
69.115 0.475303 0.00614633 -0.423202 0 0.3 0 0 -0.405638  -0.441189 0 0.21638 0 0 -0.443593  -0.0105712 0 0.00934506 0 0 -0.0125163  0.0285578 0 0.0742748 0 0 0.0504715  0 0 0 0 0 0  
75.3982 0.514436 0.00635497 -0.421394 0 0.3 0 0 -0.392592  -0.446047 0 0.217575 0 0 -0.438297  -0.00909482 0 0.00855461 0 0 -0.0117202  0.0337477 0 0.0738702 0 0 0.0574249  0 0 0 0 0 0  
81.6814 0.554448 0.00639981 -0.404423 0 0.3 0 0 -0.39837  -0.430764 0 0.215102 0 0 -0.437784  -0.0094975 0 0.00901708 0 0 -0.0153162  0.0358384 0 0.0758811 0 0 0.0547296  0 0 0 0 0 0  
87.9646 0.595917 0.00682571 -0.381662 0 0.3 0 0 -0.388234  -0.415683 0 0.21016 0 0 -0.434713  -0.010589 0 0.00849253 0 0 -0.0154337  0.0446104 0 0.0813475 0 0 0.061913  0 0 0 0 0 0  
94.2478 0.639907 0.00717992 -0.367286 0 0.3 0 0 -0.367428  -0.405281 0 0.202755 0 0 -0.421774  -0.0146497 0 0.00760011 0 0 -0.0185563  0.0526443 0 0.0896454 0 0 0.0729027  0 0 0 0 0 0  
100.531 0.685773 0.00736114 -0.348153 0 0.3 0 0 -0.338421  -0.384806 0 0.195952 0 0 -0.396072  -0.0161061 0 0.00841526 0 0 -0.0208173  0.0527595 0 0.095633 0 0 0.0784682  0 0 0 0 0 0  
106.814 0.732821 0.00760203 -0.322932 0 0.3 0 0 -0.314788  -0.364237 0 0.191303 0 0 -0.374789  -0.0193875 0 0.00760998 0 0 -0.0201142  0.0606921 0 0.101087 0 0 0.0801146  0 0 0 0 0 0  
113.097 0.780508 0.00756619 -0.306448 0 0.3 0 0 -0.308973  -0.345149 0 0.185853 0 0 -0.368117  -0.0196675 0 0.00755565 0 0 -0.022375  0.0583692 0 0.106591 0 0 0.0815194  0 0 0 0 0 0  
119.381 0.827787 0.00757042 -0.314455 0 0.3 0 0 -0.329217  -0.349462 0 0.190735 0 0 -0.380528  -0.0175362 0 0.0095956 0 0 -0.0190614  0.0525434 0 0.0996696 0 0 0.070372  0 0 0 0 0 0  
125.664 0.874422 0.00736013 -0.330619 0 0.3 0 0 -0.341082  -0.356879 0 0.198729 0 0 -0.388349  -0.0154588 0 0.010542 0 0 -0.0183703  0.0417193 0 0.0907289 0 0 0.0656374  0 0 0 0 0 0  
131.947 0.920132 0.0072064 -0.34205 0 0.3 0 0 -0.32672  -0.366317 0 0.19861 0 0 -0.37937  -0.0169773 0 0.00919129 0 0 -0.0199522  0.0412442 0 0.0921986 0 0 0.0726019  0 0 0 0 0 0  
138.23 0.965669 0.00726997 -0.348262 0 0.3 0 0 -0.307352  -0.375815 0 0.197191 0 0 -0.373405  -0.0188265 0 0.00682995 0 0 -0.0238576  0.0463795 0 0.0959793 0 0 0.0899111  0 0 0 0 0 0  
144.513 1.01089 0.00704185 -0.359174 0 0.3 0 0 -0.326638  -0.385312 0 0.198507 0 0 -0.383911  -0.0204298 0 0.00769954 0 0 -0.0217623  0.046568 0 0.093793 0 0 0.0790353  0 0 0 0 0 0  
150.796 1.05368 0.00658589 -0.382392 0 0.3 0 0 -0.36412  -0.404232 0 0.207171 0 0 -0.40948  -0.0204183 0 0.00824109 0 0 -0.0180589  0.0422584 0 0.0845878 0 0 0.0634189  0 0 0 0 0 0  
157.08 1.09498 0.00653505 -0.405304 0 0.3 0 0 -0.394903  -0.425037 0 0.217435 0 0 -0.433178  -0.0153683 0 0.00782769 0 0 -0.0135899  0.0351012 0 0.0747374 0 0 0.0518643  0 0 0 0 0 0  
163.363 1.13606 0.006558 -0.415027 0 0.3 0 0 -0.398426  -0.436986 0 0.216162 0 0 -0.438773  -0.0164504 0 0.00719523 0 0 -0.013955  0.0384093 0 0.0766431 0 0 0.0543013  0 0 0 0 0 0  
169.646 1.17757 0.00664887 -0.415138 0 0.3 0 0 -0.39024  -0.442486 0 0.213806 0 0 -0.430402  -0.0152655 0 0.00721724 0 0 -0.0115623  0.042613 0 0.0789764 0 0 0.0517249  0 0 0 0 0 0  
175.929 1.21929 0.00661281 -0.418805 0 0.3 0 0 -0.39376  -0.443314 0 0.213236 0 0 -0.430745  -0.0142202 0 0.00790533 0 0 -0.0120009  0.0387287 0 0.0788591 0 0 0.0489863  0 0 0 0 0 0  
182.212 1.26081 0.00661451 -0.431821 0 0.3 0 0 -0.401312  -0.456727 0 0.214481 0 0 -0.437134  -0.0130896 0 0.0090504 0 0 -0.0106789  0.0379959 0 0.0764688 0 0 0.0465011  0 0 0 0 0 0  
188.496 1.30203 0.00652175 -0.438024 0 0.3 0 0 -0.407852  -0.459391 0 0.217851 0 0 -0.441117  -0.012189 0 0.00899922 0 0 -0.0110106  0.0335556 0 0.0731496 0 0 0.0442759  0 0 0 0 0 0  
194.779 1.34272 0.00653183 -0.424361 0 0.3 0 0 -0.415261  -0.443818 0 0.220158 0 0 -0.443376  -0.012822 0 0.00964767 0 0 -0.0108399  0.0322799 0 0.0701943 0 0 0.0389552  0 0 0 0 0 0  
201.062 1.38434 0.00672397 -0.40055 0 0.3 0 0 -0.405517  -0.424937 0 0.213235 0 0 -0.440778  -0.0151294 0 0.00840061 0 0 -0.0129432  0.039516 0 0.0783647 0 0 0.0482036  0 0 0 0 0 0  
207.345 1.42739 0.00691447 -0.377391 0 0.3 0 0 -0.379284  -0.402087 0 0.207396 0 0 -0.421379  -0.0145234 0 0.00934573 0 0 -0.0154515  0.039219 0 0.0832579 0 0 0.0575464  0 0 0 0 0 0  
213.628 1.4711 0.00698127 -0.360091 0 0.3 0 0 -0.346007  -0.390722 0 0.205229 0 0 -0.398637  -0.0133072 0 0.00662771 0 0 -0.0190266  0.0439382 0 0.0881434 0 0 0.0716565  0 0 0 0 0 0  
219.911 1.51414 0.00678634 -0.369365 0 0.3 0 0 -0.333989  -0.402488 0 0.204063 0 0 -0.383408  -0.0163432 0 0.00785211 0 0 -0.0196326  0.0494655 0 0.0880849 0 0 0.0690515  0 0 0 0 0 0  
226.195 1.55697 0.00671264 -0.366551 0 0.3 0 0 -0.331442  -0.402285 0 0.20417 0 0 -0.380629  -0.0176976 0 0.00802358 0 0 -0.0204419  0.0534321 0 0.0878062 0 0 0.0696289  0 0 0 0 0 0  
232.478 1.59902 0.0067205 -0.363736 0 0.3 0 0 -0.324564  -0.399137 0 0.202509 0 0 -0.381584  -0.0157918 0 0.00771562 0 0 -0.018681  0.0511924 0 0.0897749 0 0 0.0757014  0 0 0 0 0 0  
238.761 1.64089 0.00660322 -0.372941 0 0.3 0 0 -0.34077  -0.40755 0 0.207547 0 0 -0.397336  -0.0156511 0 0.0078947 0 0 -0.0178854  0.0502602 0 0.0845587 0 0 0.0744513  0 0 0 0 0 0  
245.044 1.68283 0.00680205 -0.377317 0 0.3 0 0 -0.339418  -0.412469 0 0.207571 0 0 -0.396022  -0.0152221 0 0.0079437 0 0 -0.0168112  0.0503745 0 0.0844857 0 0 0.073415  0 0 0 0 0 0  
251.327 1.72619 0.00690437 -0.385555 0 0.3 0 0 -0.342514  -0.418742 0 0.206932 0 0 -0.395843  -0.0171689 0 0.00787783 0 0 -0.0145127  0.0503552 0 0.0851905 0 0 0.0678411  0 0 0 0 0 0  
257.611 1.76974 0.00693616 -0.385817 0 0.3 0 0 -0.336163  -0.422336 0 0.203114 0 0 -0.393482  -0.020335 0 0.00640702 0 0 -0.0171791  0.0568536 0 0.0904794 0 0 0.0744975  0 0 0 0 0 0  
263.894 1.81345 0.00697386 -0.383449 0 0.3 0 0 -0.324767  -0.422704 0 0.202293 0 0 -0.390483  -0.0208847 0 0.00645617 0 0 -0.0163339  0.0601405 0 0.0912503 0 0 0.0820491  0 0 0 0 0 0  
270.177 1.85821 0.00722554 -0.376973 0 0.3 0 0 -0.326884  -0.412326 0 0.200083 0 0 -0.389019  -0.018546 0 0.0077516 0 0 -0.0184754  0.0538993 0 0.092165 0 0 0.0806105  0 0 0 0 0 0  
276.46 1.90389 0.00721599 -0.356193 0 0.3 0 0 -0.297088  -0.392556 0 0.199271 0 0 -0.355359  -0.0190294 0 0.00778303 0 0 -0.0184705  0.0553926 0 0.0929459 0 0 0.0767418  0 0 0 0 0 0  
282.743 1.94857 0.0069376 -0.3472 0 0.3 0 0 -0.268983  -0.38799 0 0.195115 0 0 -0.339433  -0.022064 0 0.00445095 0 0 -0.0262528  0.0628543 0 0.100434 0 0 0.0967032  0 0 0 0 0 0  
289.027 1.99204 0.00689651 -0.361359 0 0.3 0 0 -0.296627  -0.403032 0 0.197297 0 0 -0.359183  -0.0233944 0 0.00464899 0 0 -0.0244989  0.0650673 0 0.0980538 0 0 0.0870553  0 0 0 0 0 0  
295.31 2.03686 0.00733331 -0.373554 0 0.3 0 0 -0.322203  -0.412014 0 0.198718 0 0 -0.377759  -0.0230997 0 0.00552024 0 0 -0.0224183  0.0615593 0 0.0957621 0 0 0.0779737  0 0 0 0 0 0  
301.593 2.08366 0.00747744 -0.371693 0 0.3 0 0 -0.319522  -0.410305 0 0.195399 0 0 -0.367467  -0.0203768 0 0.00718467 0 0 -0.0228382  0.0589885 0 0.0974167 0 0 0.0707827  0 0 0 0 0 0  
307.876 2.13007 0.00746855 -0.362005 0 0.3 0 0 -0.297149  -0.402954 0 0.196866 0 0 -0.354242  -0.0166837 0 0.00567193 0 0 -0.0228175  0.0576325 0 0.0974624 0 0 0.0799103  0 0 0 0 0 0  
314.159 2.17638 0.00732286 -0.365504 0 0.3 0 0 -0.289482  -0.403204 0 0.197679 0 0 -0.344948  -0.0208016 0 0.00570196 0 0 -0.0222892  0.0585009 0 0.0966195 0 0 0.0777547  0 0 0 0 0 0  
320.442 2.22184 0.00710874 -0.371992 0 0.3 0 0 -0.280655  -0.410746 0 0.201362 0 0 -0.335215  -0.0210344 0 0.00583539 0 0 -0.0205038  0.0597885 0 0.0928025 0 0 0.0750639  0 0 0 0 0 0  
326.726 2.26691 0.00728332 -0.370135 0 0.3 0 0 -0.28568  -0.412007 0 0.201051 0 0 -0.336171  -0.0206624 0 0.00573022 0 0 -0.0200469  0.0625345 0 0.0932186 0 0 0.0705376  0 0 0 0 0 0  
333.009 2.31358 0.00747691 -0.362703 0 0.3 0 0 -0.29195  -0.399837 0 0.197346 0 0 -0.336198  -0.0206261 0 0.00696424 0 0 -0.0184127  0.0577601 0 0.0956896 0 0 0.0626604  0 0 0 0 0 0  
339.292 2.36063 0.00747202 -0.361223 0 0.3 0 0 -0.308585  -0.388654 0 0.198168 0 0 -0.350135  -0.0193231 0 0.00796116 0 0 -0.0236141  0.0467536 0 0.0938713 0 0 0.0651644  0 0 0 0 0 0  
345.575 2.40693 0.00718153 -0.366595 0 0.3 0 0 -0.321414  -0.391143 0 0.207158 0 0 -0.365451  -0.0195161 0 0.00829157 0 0 -0.0206577  0.0440643 0 0.0845505 0 0 0.0646945  0 0 0 0 0 0  
351.858 2.45163 0.00705276 -0.379274 0 0.3 0 0 -0.34305  -0.404668 0 0.209124 0 0 -0.387541  -0.0213326 0 0.006787 0 0 -0.0200138  0.0467267 0 0.0840886 0 0 0.0645051  0 0 0 0 0 0  
358.142 2.49486 0.00694758 -0.408003 0 0.3 0 0 -0.365822  -0.43025 0 0.212332 0 0 -0.403302  -0.0165725 0 0.00733122 0 0 -0.017059  0.03882 0 0.0803369 0 0 0.0545384  0 0 0 0 0 0  
364.425 2.53754 0.00662598 -0.429515 0 0.3 0 0 -0.385585  -0.449239 0 0.214375 0 0 -0.418713  -0.0166477 0 0.0078425 0 0 -0.0169766  0.0363714 0 0.0777824 0 0 0.0501043  0 0 0 0 0 0  
